Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:14];45;63;3,14;4,85;1;5;2,80;
Topology [1:15];45;64;3,25;4,98;1;5;2,84;
Topology [1:16];45;65;3,21;4,87;1;5;2,89;
Topology [1:17];45;66;3,19;4,83;1;5;2,93;
Topology [1:18];45;67;3,08;4,59;1;5;2,98;
Topology [1:19];45;68;3,08;4,57;1;5;3,02;
Topology [1:20];45;69;3,04;4,51;1;5;3,07;
Topology [1:21];45;70;3,01;4,45;1;5;3,11;
Topology [2:0];45;79;3,00;5,00;1;8;3,51;
Topology [2:1];45;80;3,00;5,00;1;8;3,56;
Topology [2:2];45;81;3,00;5,00;1;8;3,60;
Topology [2:3];45;82;3,00;5,00;1;8;3,64;
Topology [2:4];45;83;3,00;5,00;1;8;3,69;
Topology [2:5];45;84;3,00;5,00;1;8;3,73;
Topology [2:6];45;85;3,00;5,00;1;8;3,78;
Topology [2:7];45;86;3,00;5,00;1;8;3,82;
Topology [2:8];45;87;3,00;5,00;1;8;3,87;
Topology [2:9];45;88;3,00;5,00;1;8;3,91;
Topology [2:10];45;89;3,00;5,00;1;8;3,96;
Topology [2:11];45;90;3,00;5,00;1;8;4,00;
Topology [2:12];45;91;3,00;5,00;1;8;4,04;
Topology [2:13];45;92;3,00;5,00;1;8;4,09;
Topology [2:14];45;93;3,00;5,00;1;8;4,13;
Topology [2:15];45;94;3,00;5,00;1;8;4,18;
Topology [2:16];45;95;3,00;5,00;1;8;4,22;
Topology [2:17];45;96;3,00;5,00;1;8;4,27;
Topology [2:18];45;97;3,00;5,00;1;8;4,31;
Topology [2:19];45;98;3,00;5,00;1;8;4,36;
Topology [2:20];45;99;3,00;5,00;1;8;4,40;
Topology [2:21];45;100;3,00;5,00;1;8;4,44;
