Id;nNodes;nEdges;h;h';
Topology [1:1];40;54;3,74;6,09;
Topology [1:2];40;55;3,74;6,09;
Topology [1:3];40;56;3,74;6,09;
Topology [1:4];40;57;3,74;6,09;
Topology [1:5];40;58;3,74;6,09;
Topology [1:6];40;59;3,74;6,09;
Topology [1:7];40;60;3,74;6,09;
Topology [1:8];40;61;3,74;6,09;
Topology [1:9];40;62;3,74;6,09;
Topology [1:10];40;63;3,74;6,09;
Topology [1:11];40;64;3,74;6,09;
Topology [1:12];40;65;3,74;6,09;
Topology [1:13];40;66;3,74;6,09;
Topology [1:14];40;67;3,74;6,09;
Topology [1:15];40;68;3,74;6,09;
Topology [1:16];40;69;3,74;6,09;
Topology [1:17];40;70;3,74;6,09;
Topology [1:18];40;71;3,74;6,09;
Topology [1:19];40;72;3,74;6,09;
Topology [1:20];40;73;3,74;6,09;
Topology [1:21];40;74;3,74;6,09;
Topology [1:22];40;75;3,74;6,09;
Topology [1:23];40;76;3,74;6,09;
Topology [1:24];40;77;3,74;6,09;
Topology [1:25];40;78;3,74;6,09;
Topology [1:26];40;79;3,74;6,09;
Topology [1:27];40;80;3,74;6,09;
