Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:2];30;43;3,16;4,67;1;6;2,87;
Topology [1:3];30;44;2,88;4,64;1;6;2,93;
Topology [1:4];30;45;2,81;4,56;1;6;3,00;
Topology [1:5];30;46;2,80;4,52;1;6;3,07;
Topology [1:6];30;47;2,78;4,48;1;6;3,13;
Topology [1:7];30;48;2,82;4,41;1;6;3,20;
Topology [1:8];30;49;2,75;4,26;1;6;3,27;
Topology [1:9];30;50;2,71;4,14;1;6;3,33;
Topology [1:10];30;51;2,69;4,08;1;6;3,40;
Topology [1:11];30;52;2,65;3,94;1;6;3,47;
Topology [1:12];30;53;2,62;3,89;1;6;3,53;
Topology [1:13];30;54;2,60;3,82;1;6;3,60;
Topology [1:14];30;55;2,58;3,78;1;6;3,67;
Topology [2:0];30;60;4,00;4,00;1;8;4,00;
Topology [2:1];30;61;4,00;4,00;1;8;4,07;
Topology [2:2];30;62;4,00;4,00;1;8;4,13;
Topology [2:3];30;63;4,00;4,00;1;9;4,20;
Topology [2:4];30;64;4,00;4,00;1;9;4,27;
Topology [2:5];30;65;4,00;4,00;1;9;4,33;
Topology [2:6];30;66;4,00;4,00;1;9;4,40;
Topology [2:7];30;67;4,00;4,00;1;9;4,47;
Topology [2:8];30;68;4,00;4,00;1;9;4,53;
Topology [2:9];30;69;4,00;4,00;1;9;4,60;
Topology [2:10];30;70;4,00;4,00;1;9;4,67;
Topology [2:11];30;71;4,00;4,00;1;9;4,73;
Topology [2:12];30;72;4,00;4,00;1;9;4,80;
Topology [2:13];30;73;4,00;4,00;1;9;4,87;
Topology [2:14];30;74;4,00;4,00;1;9;4,93;
