Id;nNodes;nEdges;h;h';
Topology [1:11];45;65;3,59;5,63;
Topology [1:12];45;66;3,56;5,52;
Topology [1:13];45;67;3,53;5,45;
Topology [1:14];45;68;3,40;5,36;
Topology [1:15];45;69;3,38;5,26;
Topology [1:16];45;70;3,35;5,26;
Topology [1:17];45;71;3,28;5,06;
Topology [1:18];45;72;3,27;5,03;
Topology [1:19];45;73;3,22;4,91;
Topology [1:20];45;74;3,22;4,83;
Topology [1:21];45;75;3,19;4,76;
Topology [2:0];45;87;2,00;5,00;
Topology [2:1];45;88;2,00;5,00;
Topology [2:2];45;89;2,00;5,00;
Topology [2:3];45;90;2,00;5,00;
Topology [2:4];45;91;2,00;5,00;
Topology [2:5];45;92;2,00;5,00;
Topology [2:6];45;93;2,00;5,00;
Topology [2:7];45;94;2,00;5,00;
Topology [2:8];45;95;2,00;5,00;
Topology [2:9];45;96;2,00;5,00;
Topology [2:10];45;97;2,00;5,00;
Topology [2:11];45;98;2,00;5,00;
Topology [2:12];45;99;2,00;5,00;
Topology [2:13];45;100;2,00;5,00;
Topology [2:14];45;101;2,00;5,00;
Topology [2:15];45;102;3,28;4,90;
Topology [2:16];45;103;3,19;4,72;
Topology [2:17];45;104;3,19;4,65;
Topology [2:18];45;105;3,19;4,61;
Topology [2:19];45;106;3,16;4,57;
Topology [2:20];45;107;3,13;4,50;
Topology [2:21];45;108;3,12;4,47;
