Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:13];30;45;3,35;5,00;2;4;3,00;
Topology [1:14];30;45;3,35;5,00;2;4;3,00;
Topology [2:0];30;51;3,00;3,00;0;6;3,40;
Topology [2:1];30;52;3,00;3,00;0;6;3,47;
Topology [2:2];30;53;3,00;3,00;0;6;3,53;
Topology [2:3];30;54;3,00;3,00;0;6;3,60;
Topology [2:4];30;54;3,00;3,00;0;6;3,60;
Topology [2:5];30;55;3,00;3,00;0;6;3,67;
Topology [2:6];30;56;3,70;6,29;1;6;3,73;
Topology [2:7];30;57;3,88;6,31;2;6;3,80;
Topology [2:8];30;58;3,64;6,00;2;6;3,87;
Topology [2:9];30;59;3,59;5,84;2;6;3,93;
Topology [2:10];30;60;3,41;5,49;3;6;4,00;
Topology [2:11];30;61;3,37;5,31;3;6;4,07;
Topology [2:12];30;61;3,37;5,31;3;6;4,07;
