Id;nNodes;nEdges;h;h';
Topology [1:11];50;69;4,46;6,84;
Topology [1:12];50;70;4,26;6,46;
Topology [1:13];50;71;4,13;6,22;
Topology [1:14];50;72;4,08;6,08;
Topology [1:15];50;73;3,97;5,88;
Topology [1:16];50;74;3,95;5,79;
Topology [2:0];50;90;6,00;6,00;
Topology [2:1];50;91;6,00;6,00;
Topology [2:2];50;92;6,00;6,00;
Topology [2:3];50;93;6,00;6,00;
Topology [2:4];50;94;6,00;6,00;
Topology [2:5];50;95;6,00;6,00;
Topology [2:6];50;96;6,00;6,00;
Topology [2:7];50;97;6,00;6,00;
Topology [2:8];50;98;4,15;6,79;
Topology [2:9];50;99;4,96;7,81;
Topology [2:10];50;100;4,84;7,54;
Topology [2:11];50;101;4,78;7,30;
Topology [2:12];50;102;4,96;7,53;
Topology [2:13];50;103;4,74;7,18;
Topology [2:14];50;104;4,54;6,88;
Topology [2:15];50;105;4,38;6,57;
Topology [2:16];50;106;4,31;6,41;
Topology [2:17];50;107;4,27;6,34;
