Id;nNodes;nEdges;h;h';
Topology [2:0];30;38;3,15;5,39;
Topology [2:1];30;39;2,99;5,13;
Topology [2:2];30;40;2,96;4,82;
Topology [2:3];30;41;3,03;4,78;
Topology [2:4];30;42;2,94;4,64;
Topology [2:5];30;43;2,88;4,50;
Topology [2:6];30;44;2,85;4,42;
Topology [2:7];30;45;2,78;4,27;
Topology [2:8];30;46;2,74;4,26;
Topology [2:9];30;47;2,67;4,15;
Topology [2:10];30;48;2,60;3,86;
Topology [2:11];30;49;2,58;3,76;
Topology [2:12];30;50;2,54;3,67;
Topology [2:13];30;51;2,49;3,60;
Topology [2:14];30;52;2,52;3,67;
