Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:30];70;136;3,10;4,13;1;7;3,89;
Topology [1:31];70;137;3,10;4,12;1;7;3,91;
Topology [1:32];70;138;3,09;4,11;1;7;3,94;
Topology [1:33];70;139;3,06;4,09;1;7;3,97;
Topology [1:34];70;140;3,04;4,06;1;7;4,00;
Topology [2:0];70;173;3,00;4,00;0;10;4,94;
Topology [2:1];70;174;3,00;4,00;0;10;4,97;
Topology [2:2];70;175;3,00;4,00;0;10;5,00;
Topology [2:3];70;176;3,00;4,00;0;10;5,03;
Topology [2:4];70;177;3,00;4,00;0;10;5,06;
Topology [2:5];70;178;3,00;4,00;0;10;5,09;
Topology [2:6];70;178;3,00;4,00;0;10;5,09;
Topology [2:7];70;179;3,00;4,00;0;10;5,11;
Topology [2:8];70;180;3,00;4,00;0;10;5,14;
Topology [2:9];70;181;3,00;4,00;0;10;5,17;
Topology [2:10];70;182;3,00;4,00;0;10;5,20;
Topology [2:11];70;183;3,00;4,00;0;10;5,23;
Topology [2:12];70;184;3,00;4,00;0;10;5,26;
Topology [2:13];70;185;3,00;4,00;0;10;5,29;
Topology [2:14];70;186;3,00;4,00;0;10;5,31;
Topology [2:15];70;187;3,00;4,00;0;10;5,34;
Topology [2:16];70;188;3,00;4,00;0;10;5,37;
Topology [2:17];70;189;3,00;4,00;0;10;5,40;
Topology [2:18];70;190;3,00;4,00;0;10;5,43;
Topology [2:19];70;191;3,00;4,00;0;10;5,46;
Topology [2:20];70;192;3,00;4,00;0;10;5,49;
Topology [2:21];70;193;3,00;4,00;0;10;5,51;
Topology [2:22];70;194;3,00;4,00;0;10;5,54;
Topology [2:23];70;195;3,00;4,00;0;10;5,57;
Topology [2:24];70;196;3,00;4,00;1;10;5,60;
Topology [2:25];70;197;3,00;4,00;1;10;5,63;
Topology [2:26];70;198;3,00;4,00;1;10;5,66;
Topology [2:27];70;199;3,00;4,00;1;10;5,69;
