Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [2:2];40;47;3,28;6,25;1;4;2,35;
Topology [2:3];40;48;3,33;5,73;1;4;2,40;
Topology [2:4];40;49;3,98;6,57;1;4;2,45;
Topology [2:5];40;50;3,95;6,12;1;4;2,50;
Topology [2:6];40;51;3,92;5,90;1;5;2,55;
Topology [2:7];40;52;3,88;5,86;1;5;2,60;
Topology [2:8];40;53;3,82;6,00;1;5;2,65;
Topology [2:9];40;54;3,89;5,98;1;5;2,70;
Topology [2:10];40;55;3,78;5,75;1;5;2,75;
Topology [2:11];40;56;3,53;5,56;1;5;2,80;
Topology [2:12];40;57;3,46;5,44;1;6;2,85;
Topology [2:13];40;58;3,36;5,21;1;6;2,90;
Topology [2:14];40;59;3,28;5,03;1;6;2,95;
Topology [2:15];40;60;3,17;4,73;1;6;3,00;
Topology [2:16];40;61;3,13;4,69;1;6;3,05;
Topology [2:17];40;62;3,04;4,52;1;6;3,10;
Topology [2:18];40;63;2,99;4,45;1;6;3,15;
Topology [2:19];40;64;2,98;4,41;1;6;3,20;
