Id;nNodes;nEdges;h;h';
Topology [1:1];10;21;1,56;2,22;
Topology [1:2];10;22;1,56;2,22;
Topology [1:3];10;23;1,56;2,22;
Topology [1:4];10;24;1,56;2,22;
Topology [1:5];10;25;1,56;2,22;
Topology [1:6];10;26;1,56;2,22;
Topology [1:7];10;27;1,56;2,22;
Topology [1:8];10;28;1,56;2,22;
Topology [1:9];10;29;1,56;2,22;
Topology [1:10];10;30;1,56;2,22;
Topology [1:11];10;31;1,56;2,22;
Topology [1:12];10;32;1,56;2,22;
Topology [1:13];10;33;1,56;2,22;
Topology [1:14];10;34;1,56;2,22;
Topology [1:15];10;35;1,56;2,22;
Topology [1:16];10;36;1,56;2,22;
Topology [1:17];10;37;1,56;2,22;
Topology [1:18];10;38;1,56;2,22;
Topology [1:19];10;39;1,56;2,22;
Topology [1:20];10;40;1,56;2,22;
