Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [2:2];30;46;2,94;4,37;1;6;3,07;
Topology [2:3];30;47;2,77;4,11;1;6;3,13;
Topology [2:4];30;48;2,71;3,94;1;6;3,20;
Topology [2:5];30;49;2,84;4,35;1;6;3,27;
Topology [2:6];30;50;2,78;4,24;1;6;3,33;
Topology [2:7];30;51;2,79;4,20;1;6;3,40;
Topology [2:8];30;52;2,78;4,14;1;6;3,47;
Topology [2:9];30;53;2,74;3,98;1;6;3,53;
Topology [2:10];30;54;2,69;3,87;1;6;3,60;
Topology [2:11];30;55;2,66;3,80;1;6;3,67;
Topology [2:12];30;56;2,64;3,76;1;6;3,73;
Topology [2:13];30;57;2,62;3,65;1;6;3,80;
Topology [2:14];30;58;2,59;3,66;2;6;3,87;
