Id;nNodes;nEdges;h;h';
Topology [1:8];50;70;4,50;6,91;
Topology [1:9];50;71;4,35;6,69;
Topology [1:10];50;72;4,25;6,37;
Topology [1:11];50;73;4,20;6,27;
Topology [1:12];50;74;4,10;6,10;
Topology [1:13];50;75;4,03;5,94;
Topology [1:14];50;75;4,03;5,94;
Topology [2:0];50;94;5,57;9,09;
Topology [2:1];50;95;5,40;8,44;
Topology [2:2];50;96;4,96;7,89;
Topology [2:3];50;97;4,84;7,53;
Topology [2:4];50;98;4,65;7,22;
Topology [2:5];50;99;4,52;6,91;
Topology [2:6];50;100;4,45;6,72;
Topology [2:7];50;101;4,34;6,52;
Topology [2:8];50;102;4,31;6,36;
Topology [2:9];50;103;4,23;6,24;
Topology [2:10];50;104;4,16;6,07;
Topology [2:11];50;105;4,00;5,89;
Topology [2:12];50;106;3,97;5,81;
Topology [2:13];50;107;3,91;5,66;
Topology [2:14];50;108;3,78;5,49;
Topology [2:15];50;108;3,78;5,49;
