Id;nNodes;nEdges;h;h';
Topology [1:12];45;60;4,01;6,18;
Topology [1:13];45;61;3,84;5,76;
Topology [1:14];45;62;3,60;5,50;
Topology [1:15];45;63;3,57;5,42;
Topology [1:16];45;64;3,50;5,29;
Topology [1:17];45;65;3,48;5,26;
Topology [1:18];45;66;3,50;5,22;
Topology [1:19];45;67;3,52;5,18;
Topology [1:20];45;68;3,48;5,09;
Topology [1:21];45;69;3,44;5,04;
Topology [2:0];45;86;5,00;5,00;
Topology [2:1];45;87;5,00;5,00;
Topology [2:2];45;88;5,00;5,00;
Topology [2:3];45;89;5,00;5,00;
Topology [2:4];45;90;5,00;5,00;
Topology [2:5];45;91;5,00;5,00;
Topology [2:6];45;92;5,00;5,00;
Topology [2:7];45;93;5,00;5,00;
Topology [2:8];45;94;5,00;5,00;
Topology [2:9];45;94;5,00;5,00;
Topology [2:10];45;95;5,00;5,00;
Topology [2:11];45;96;5,00;5,00;
Topology [2:12];45;97;5,00;5,00;
Topology [2:13];45;98;5,00;5,00;
Topology [2:14];45;99;5,00;5,00;
Topology [2:15];45;100;5,00;5,00;
Topology [2:16];45;101;5,00;5,00;
Topology [2:17];45;102;5,00;5,00;
Topology [2:18];45;103;5,00;5,00;
Topology [2:19];45;104;5,00;5,00;
Topology [2:20];45;105;5,00;5,00;
Topology [2:21];45;106;5,00;5,00;
