Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:11];30;49;3,05;4,76;1;6;3,27;
Topology [1:12];30;50;2,97;4,66;1;6;3,33;
Topology [1:13];30;51;2,96;4,63;1;6;3,40;
Topology [1:14];30;52;2,83;4,10;1;6;3,47;
Topology [2:0];30;59;3,00;4,00;2;8;3,93;
Topology [2:1];30;60;3,00;4,00;2;8;4,00;
Topology [2:2];30;61;3,00;4,00;2;8;4,07;
Topology [2:3];30;62;3,00;4,00;2;8;4,13;
Topology [2:4];30;63;3,00;4,00;2;8;4,20;
Topology [2:5];30;64;3,00;4,00;2;8;4,27;
Topology [2:6];30;65;3,00;4,00;2;8;4,33;
Topology [2:7];30;66;3,00;4,00;2;8;4,40;
Topology [2:8];30;67;3,00;4,00;2;8;4,47;
Topology [2:9];30;68;3,00;4,00;2;8;4,53;
Topology [2:10];30;69;3,00;4,00;2;8;4,60;
Topology [2:11];30;69;3,00;4,00;2;8;4,60;
Topology [2:12];30;70;3,00;4,00;2;8;4,67;
Topology [2:13];30;71;3,00;4,00;2;8;4,73;
Topology [2:14];30;72;3,00;4,00;2;8;4,80;
