Id;nNodes;nEdges;h;h';
Topology [1:11];40;63;2,92;4,27;
Topology [1:12];40;64;2,86;4,18;
Topology [1:13];40;65;2,85;4,16;
Topology [1:14];40;66;2,94;4,34;
Topology [1:15];40;67;2,84;4,19;
Topology [1:16];40;68;2,83;4,15;
Topology [1:17];40;69;2,79;4,08;
Topology [1:18];40;70;2,78;4,03;
Topology [1:19];40;71;2,98;4,16;
Topology [2:0];40;85;4,00;4,00;
Topology [2:1];40;86;4,00;4,00;
Topology [2:2];40;87;4,00;4,00;
Topology [2:3];40;88;4,00;4,00;
Topology [2:4];40;89;4,00;4,00;
Topology [2:5];40;90;4,00;4,00;
Topology [2:6];40;91;4,00;4,00;
Topology [2:7];40;92;4,00;4,00;
Topology [2:8];40;93;2,59;3,90;
Topology [2:9];40;94;2,55;3,82;
Topology [2:10];40;95;2,54;3,76;
Topology [2:11];40;96;2,62;3,90;
Topology [2:12];40;97;2,62;3,95;
Topology [2:13];40;98;3,02;4,42;
Topology [2:14];40;99;3,00;4,39;
Topology [2:15];40;100;2,97;4,31;
Topology [2:16];40;101;2,94;4,25;
Topology [2:17];40;102;2,94;4,16;
Topology [2:18];40;103;2,91;4,13;
Topology [2:19];40;104;2,88;4,07;
