Id;nNodes;nEdges;h;h';
Topology [1:0];20;21;4,83;11,56;
Topology [1:1];20;22;3,98;8,07;
Topology [1:2];20;23;3,78;7,51;
Topology [1:3];20;24;3,33;5,99;
Topology [1:4];20;25;3,22;5,71;
Topology [1:5];20;26;3,04;5,17;
Topology [1:6];20;27;2,98;5,06;
Topology [1:7];20;28;2,84;4,73;
Topology [1:8];20;29;2,73;4,36;
Topology [1:9];20;30;2,66;4,20;
Topology [2:0];20;34;5,01;11,38;
Topology [2:1];20;35;4,74;11,24;
Topology [2:2];20;36;4,41;9,10;
Topology [2:3];20;37;4,25;8,69;
Topology [2:4];20;38;3,84;6,92;
Topology [2:5];20;39;3,07;5,47;
Topology [2:6];20;40;3,02;5,33;
Topology [2:7];20;41;2,86;4,82;
Topology [2:8];20;41;2,86;4,82;
Topology [2:9];20;42;2,78;4,36;
