Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:16];35;60;2,96;4,27;2;4;3,43;
Topology [2:0];35;67;3,00;5,00;1;7;3,83;
Topology [2:1];35;68;3,00;5,00;1;7;3,89;
Topology [2:2];35;69;3,00;5,00;1;7;3,94;
Topology [2:3];35;70;3,00;5,00;1;7;4,00;
Topology [2:4];35;71;3,00;5,00;1;7;4,06;
Topology [2:5];35;71;3,00;5,00;1;7;4,06;
Topology [2:6];35;72;3,00;5,00;1;7;4,11;
Topology [2:7];35;73;3,00;5,00;1;7;4,17;
Topology [2:8];35;74;2,81;4,18;1;7;4,23;
Topology [2:9];35;75;2,39;3,63;1;7;4,29;
Topology [2:10];35;76;2,95;4,31;1;7;4,34;
Topology [2:11];35;77;2,90;4,18;1;7;4,40;
Topology [2:12];35;78;2,89;4,14;1;7;4,46;
Topology [2:13];35;79;2,94;4,32;1;7;4,51;
Topology [2:14];35;80;2,88;4,21;1;7;4,57;
Topology [2:15];35;81;3,01;4,43;1;7;4,63;
Topology [2:16];35;82;2,93;4,26;1;7;4,69;
