Id;nNodes;nEdges;h;h';
Topology [1:0];50;64;5,24;8,33;
Topology [1:1];50;65;5,05;7,67;
Topology [1:2];50;66;4,97;7,54;
Topology [1:3];50;67;4,84;7,27;
Topology [1:4];50;68;4,65;6,97;
Topology [1:5];50;69;4,54;6,77;
Topology [1:6];50;70;4,29;6,40;
Topology [1:7];50;71;4,18;6,19;
Topology [1:8];50;72;4,14;6,12;
Topology [1:9];50;73;4,11;6,05;
Topology [1:10];50;74;4,01;5,87;
Topology [1:11];50;75;3,94;5,72;
Topology [1:12];50;75;3,94;5,72;
Topology [2:0];50;95;1,00;7,00;
Topology [2:1];50;96;1,00;7,00;
Topology [2:2];50;97;1,00;7,00;
Topology [2:3];50;98;1,00;7,00;
Topology [2:4];50;99;1,00;7,00;
Topology [2:5];50;100;3,88;6,43;
Topology [2:6];50;101;3,56;5,91;
Topology [2:7];50;102;3,53;5,84;
Topology [2:8];50;103;4,88;7,24;
Topology [2:9];50;104;4,44;6,62;
Topology [2:10];50;105;4,44;6,56;
Topology [2:11];50;106;4,20;6,20;
Topology [2:12];50;107;4,14;6,03;
Topology [2:13];50;107;4,14;6,03;
