Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:17];45;71;3,16;4,54;1;5;3,16;
Topology [1:18];45;72;3,18;4,54;1;5;3,20;
Topology [1:19];45;73;3,19;4,53;1;5;3,24;
Topology [1:20];45;74;3,15;4,43;1;5;3,29;
Topology [1:21];45;75;3,08;4,37;1;5;3,33;
Topology [2:0];45;80;1,00;4,00;0;8;3,56;
Topology [2:1];45;81;1,00;4,00;0;8;3,60;
Topology [2:2];45;82;1,00;4,00;0;8;3,64;
Topology [2:3];45;83;1,00;4,00;0;8;3,69;
Topology [2:4];45;84;1,00;4,00;0;8;3,73;
Topology [2:5];45;85;1,00;4,00;0;8;3,78;
Topology [2:6];45;86;1,00;4,00;0;8;3,82;
Topology [2:7];45;87;1,00;4,00;0;8;3,87;
Topology [2:8];45;88;1,00;4,00;0;8;3,91;
Topology [2:9];45;89;1,00;4,00;0;8;3,96;
Topology [2:10];45;90;1,00;4,00;0;8;4,00;
Topology [2:11];45;91;1,00;4,00;0;8;4,04;
Topology [2:12];45;92;1,00;4,00;0;8;4,09;
Topology [2:13];45;93;1,00;4,00;0;8;4,13;
Topology [2:14];45;94;1,00;4,00;0;8;4,18;
Topology [2:15];45;95;1,00;4,00;0;8;4,22;
Topology [2:16];45;96;1,00;4,00;0;8;4,27;
Topology [2:17];45;97;1,00;4,00;0;8;4,31;
Topology [2:18];45;98;1,00;4,00;0;8;4,36;
Topology [2:19];45;99;1,00;4,00;0;8;4,40;
Topology [2:20];45;100;1,00;4,00;0;8;4,44;
Topology [2:21];45;101;1,00;4,00;0;8;4,49;
