Id;nNodes;nEdges;h;h';
Topology [1:0];5;8;1,20;2,00;
Topology [1:1];5;8;1,20;2,00;
Topology [1:2];5;8;1,20;2,00;
Topology [1:3];5;8;1,20;2,00;
Topology [1:4];5;8;1,20;2,00;
Topology [1:5];5;8;1,20;2,00;
Topology [1:6];5;8;1,20;2,00;
Topology [1:7];5;9;1,20;2,00;
Topology [1:8];5;9;1,20;2,00;
Topology [1:9];5;9;1,20;2,00;
Topology [1:10];5;9;1,20;2,00;
Topology [1:11];5;9;1,20;2,00;
Topology [1:12];5;9;1,20;2,00;
Topology [1:13];5;9;1,20;2,00;
Topology [1:14];5;9;1,20;2,00;
Topology [1:15];5;9;1,20;2,00;
Topology [1:16];5;9;1,20;2,00;
Topology [1:17];5;9;1,20;2,00;
Topology [1:18];5;10;1,20;2,00;
