Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:0];40;49;3,93;5,89;1;5;2,45;
Topology [1:1];40;50;3,85;5,72;1;5;2,50;
Topology [1:2];40;51;3,75;5,72;1;5;2,55;
Topology [1:3];40;52;3,76;5,71;1;5;2,60;
Topology [1:4];40;53;3,53;5,47;1;5;2,65;
Topology [1:5];40;54;3,34;5,10;1;5;2,70;
Topology [1:6];40;55;3,21;4,91;1;5;2,75;
Topology [1:7];40;56;3,31;5,05;1;5;2,80;
Topology [1:8];40;57;3,25;4,96;1;5;2,85;
Topology [1:9];40;58;3,22;4,86;1;5;2,90;
Topology [1:10];40;59;3,17;4,79;1;5;2,95;
Topology [1:11];40;60;3,16;4,75;1;5;3,00;
Topology [1:12];40;61;3,03;4,59;1;5;3,05;
Topology [1:13];40;62;3,00;4,43;1;5;3,10;
Topology [1:14];40;63;2,88;4,28;1;5;3,15;
Topology [1:15];40;64;2,86;4,22;1;5;3,20;
Topology [1:16];40;65;2,88;4,30;1;5;3,25;
Topology [1:17];40;66;2,93;4,34;1;5;3,30;
Topology [1:18];40;67;2,91;4,27;1;5;3,35;
Topology [1:19];40;68;2,88;4,21;1;5;3,40;
Topology [2:0];40;72;2,00;4,00;0;7;3,60;
Topology [2:1];40;72;2,00;4,00;0;7;3,60;
Topology [2:2];40;73;2,00;4,00;0;7;3,65;
Topology [2:3];40;74;2,00;4,00;0;7;3,70;
Topology [2:4];40;75;2,00;4,00;0;7;3,75;
Topology [2:5];40;76;2,00;4,00;0;7;3,80;
Topology [2:6];40;77;2,00;4,00;0;7;3,85;
Topology [2:7];40;78;2,00;4,00;0;7;3,90;
Topology [2:8];40;79;2,00;4,00;0;7;3,95;
Topology [2:9];40;80;2,00;4,00;0;7;4,00;
Topology [2:10];40;81;2,00;4,00;0;7;4,05;
Topology [2:11];40;82;2,00;4,00;0;7;4,10;
Topology [2:12];40;83;2,00;4,00;0;7;4,15;
Topology [2:13];40;84;2,00;4,00;0;7;4,20;
Topology [2:14];40;85;2,00;4,00;0;7;4,25;
Topology [2:15];40;86;2,00;4,00;0;7;4,30;
Topology [2:16];40;87;2,00;4,00;0;7;4,35;
Topology [2:17];40;88;2,00;4,00;0;7;4,40;
Topology [2:18];40;89;2,00;4,00;0;7;4,45;
Topology [2:19];40;90;2,00;4,00;0;7;4,50;
