Id;nNodes;nEdges;h;h';
Topology [1:0];20;21;4,59;12,41;
Topology [1:1];20;22;4,59;12,41;
Topology [1:2];20;23;4,59;12,41;
Topology [1:3];20;24;4,59;12,41;
Topology [1:4];20;25;4,59;12,41;
Topology [1:5];20;26;4,59;12,41;
Topology [1:6];20;27;4,59;12,41;
Topology [1:7];20;28;4,59;12,41;
Topology [1:8];20;29;4,59;12,41;
Topology [1:9];20;30;4,59;12,41;
Topology [1:10];20;31;4,59;12,41;
Topology [1:11];20;32;4,59;12,41;
Topology [1:12];20;33;4,59;12,41;
Topology [1:13];20;34;4,59;12,41;
Topology [1:14];20;35;4,59;12,41;
Topology [1:15];20;36;4,59;12,41;
Topology [1:16];20;37;4,59;12,41;
Topology [1:17];20;38;4,59;12,41;
Topology [1:18];20;39;4,59;12,41;
