Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:12];35;54;3,27;4,75;1;4;3,09;
Topology [1:13];35;55;3,33;4,81;1;4;3,14;
Topology [1:14];35;56;3,21;4,58;1;4;3,20;
Topology [1:15];35;57;3,24;4,55;1;4;3,26;
Topology [1:16];35;58;3,23;4,50;1;4;3,31;
Topology [2:0];35;61;1,00;5,00;1;6;3,49;
Topology [2:1];35;62;1,00;5,00;1;6;3,54;
Topology [2:2];35;63;1,00;5,00;1;6;3,60;
Topology [2:3];35;64;1,00;5,00;1;7;3,66;
Topology [2:4];35;65;1,00;5,00;1;7;3,71;
Topology [2:5];35;66;1,00;5,00;1;7;3,77;
Topology [2:6];35;67;1,00;5,00;1;7;3,83;
Topology [2:7];35;68;1,00;5,00;1;7;3,89;
Topology [2:8];35;69;1,00;5,00;1;8;3,94;
Topology [2:9];35;70;1,00;5,00;1;8;4,00;
Topology [2:10];35;71;1,00;5,00;1;8;4,06;
Topology [2:11];35;72;1,00;5,00;1;8;4,11;
Topology [2:12];35;72;1,00;5,00;1;8;4,11;
Topology [2:13];35;73;1,00;5,00;1;8;4,17;
Topology [2:14];35;74;1,00;5,00;1;8;4,23;
Topology [2:15];35;75;1,00;5,00;1;8;4,29;
Topology [2:16];35;76;1,00;5,00;1;8;4,34;
