Id;nNodes;nEdges;h;h';
Topology [1:6];50;64;5,94;9,56;
Topology [1:7];50;65;5,36;8,54;
Topology [1:8];50;66;5,09;7,93;
Topology [1:9];50;67;4,87;7,60;
Topology [1:10];50;68;4,84;7,54;
Topology [1:11];50;69;4,67;7,21;
Topology [1:12];50;70;4,50;6,84;
Topology [1:13];50;71;4,44;6,66;
Topology [1:14];50;72;4,33;6,52;
Topology [1:15];50;73;4,31;6,49;
Topology [1:16];50;74;4,18;6,21;
Topology [1:17];50;75;4,08;6,03;
Topology [1:18];50;75;4,08;6,03;
Topology [2:0];50;94;3,00;6,00;
Topology [2:1];50;95;3,90;6,88;
Topology [2:2];50;96;3,74;6,32;
Topology [2:3];50;97;3,62;6,03;
Topology [2:4];50;98;4,42;6,92;
Topology [2:5];50;99;4,19;6,47;
Topology [2:6];50;100;5,28;8,08;
Topology [2:7];50;101;5,02;7,78;
Topology [2:8];50;102;4,78;7,45;
Topology [2:9];50;103;4,63;6,98;
Topology [2:10];50;104;4,52;6,76;
Topology [2:11];50;105;4,46;6,66;
Topology [2:12];50;106;4,37;6,35;
Topology [2:13];50;107;4,35;6,20;
Topology [2:14];50;108;4,24;6,03;
Topology [2:15];50;109;3,98;5,83;
