Id;nNodes;nEdges;h;h';
Topology [1:5];30;35;3,23;5,69;
Topology [1:6];30;36;3,20;5,66;
Topology [1:7];30;37;3,26;5,56;
Topology [1:8];30;38;3,15;5,50;
Topology [1:9];30;39;3,05;5,29;
Topology [1:10];30;40;2,90;4,93;
Topology [1:11];30;41;2,95;4,99;
Topology [1:12];30;42;2,88;4,85;
Topology [1:13];30;43;2,72;4,39;
Topology [1:14];30;44;2,76;4,29;
Topology [2:0];30;57;4,00;5,00;
Topology [2:1];30;58;4,00;5,00;
Topology [2:2];30;59;4,00;5,00;
Topology [2:3];30;60;4,00;5,00;
Topology [2:4];30;61;4,00;5,00;
Topology [2:5];30;61;4,00;5,00;
Topology [2:6];30;62;4,00;5,00;
Topology [2:7];30;63;4,00;5,00;
Topology [2:8];30;64;4,00;5,00;
Topology [2:9];30;65;4,00;5,00;
Topology [2:10];30;66;4,00;5,00;
Topology [2:11];30;67;2,80;4,19;
Topology [2:12];30;68;2,67;4,04;
Topology [2:13];30;69;2,59;3,88;
Topology [2:14];30;70;2,56;3,81;
