Id;nNodes;nEdges;h;h';
Topology [1:4];30;41;3,97;6,36;
Topology [1:5];30;42;3,70;5,81;
Topology [1:6];30;43;3,57;5,46;
Topology [1:7];30;44;3,38;5,12;
Topology [1:8];30;45;3,21;4,89;
Topology [1:9];30;45;3,21;4,89;
Topology [2:0];30;55;2,00;4,00;
Topology [2:1];30;56;2,00;4,00;
Topology [2:2];30;57;2,00;4,00;
Topology [2:3];30;58;2,00;4,00;
Topology [2:4];30;59;3,25;5,52;
Topology [2:5];30;59;3,29;5,56;
Topology [2:6];30;60;3,19;5,23;
Topology [2:7];30;61;3,25;5,26;
Topology [2:8];30;61;3,25;5,26;
