Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:21];60;82;4,05;6,04;1;5;2,73;
Topology [1:22];60;83;3,95;5,86;1;5;2,77;
Topology [1:23];60;84;3,91;5,75;1;5;2,80;
Topology [1:24];60;85;3,85;5,58;1;5;2,83;
Topology [1:25];60;86;3,86;5,60;1;5;2,87;
Topology [1:26];60;87;3,81;5,54;1;5;2,90;
Topology [1:27];60;88;3,70;5,28;1;5;2,93;
Topology [1:28];60;89;3,67;5,27;1;5;2,97;
Topology [1:29];60;90;3,64;5,22;1;5;3,00;
Topology [2:0];60;105;4,00;6,00;0;9;3,50;
Topology [2:1];60;106;4,00;6,00;0;9;3,53;
Topology [2:2];60;107;4,00;6,00;0;9;3,57;
Topology [2:3];60;108;4,00;6,00;0;9;3,60;
Topology [2:4];60;109;4,00;6,00;0;9;3,63;
Topology [2:5];60;110;4,00;6,00;0;9;3,67;
Topology [2:6];60;111;4,00;6,00;0;9;3,70;
Topology [2:7];60;112;4,00;6,00;0;9;3,73;
Topology [2:8];60;113;4,00;6,00;0;9;3,77;
Topology [2:9];60;114;4,00;6,00;0;9;3,80;
Topology [2:10];60;115;4,00;6,00;0;9;3,83;
Topology [2:11];60;116;4,00;6,00;0;9;3,87;
Topology [2:12];60;117;4,00;6,00;0;9;3,90;
Topology [2:13];60;118;4,00;6,00;0;9;3,93;
Topology [2:14];60;119;4,00;6,00;0;9;3,97;
Topology [2:15];60;120;4,00;6,00;0;9;4,00;
Topology [2:16];60;121;4,00;6,00;0;9;4,03;
Topology [2:17];60;122;4,00;6,00;0;9;4,07;
Topology [2:18];60;123;4,00;6,00;0;9;4,10;
Topology [2:19];60;124;4,00;6,00;0;9;4,13;
Topology [2:20];60;125;4,00;6,00;0;9;4,17;
Topology [2:21];60;126;4,00;6,00;0;9;4,20;
Topology [2:22];60;127;4,00;6,00;0;9;4,23;
Topology [2:23];60;128;4,00;6,00;0;9;4,27;
Topology [2:24];60;129;4,00;6,00;0;9;4,30;
Topology [2:25];60;130;4,00;6,00;0;9;4,33;
Topology [2:26];60;131;4,00;6,00;0;9;4,37;
Topology [2:27];60;132;4,00;6,00;0;9;4,40;
Topology [2:28];60;133;4,00;6,00;0;9;4,43;
Topology [2:29];60;134;4,00;6,00;0;9;4,47;
