Id;nNodes;nEdges;h;h';
Topology [2:1];40;49;3,25;5,43;
Topology [2:2];40;50;3,25;5,39;
Topology [2:3];40;51;3,19;5,25;
Topology [2:4];40;52;3,35;5,34;
Topology [2:5];40;53;3,33;5,22;
Topology [2:6];40;54;3,20;5,03;
Topology [2:7];40;55;3,18;4,96;
Topology [2:8];40;56;3,11;4,80;
Topology [2:9];40;57;3,14;4,77;
Topology [2:10];40;58;3,18;4,79;
Topology [2:11];40;59;3,14;4,66;
Topology [2:12];40;60;3,11;4,62;
Topology [2:13];40;61;3,08;4,51;
Topology [2:14];40;62;2,98;4,31;
Topology [2:15];40;63;2,95;4,28;
Topology [2:16];40;64;2,96;4,29;
Topology [2:17];40;65;3,13;4,60;
Topology [2:18];40;66;3,10;4,55;
Topology [2:19];40;67;3,05;4,45;
