Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:10];60;100;3,44;4,81;1;5;3,33;
Topology [1:11];60;101;3,43;4,77;1;5;3,37;
Topology [1:12];60;102;3,42;4,73;1;5;3,40;
Topology [1:13];60;103;3,40;4,67;1;5;3,43;
Topology [1:14];60;104;3,37;4,63;1;5;3,47;
Topology [1:15];60;105;3,33;4,58;1;5;3,50;
Topology [1:16];60;106;3,30;4,52;1;5;3,53;
Topology [1:17];60;107;3,27;4,48;1;5;3,57;
Topology [1:18];60;108;3,27;4,46;1;5;3,60;
Topology [1:19];60;109;3,25;4,42;1;5;3,63;
Topology [1:20];60;110;3,23;4,36;1;5;3,67;
Topology [1:21];60;111;3,25;4,36;1;5;3,70;
Topology [1:22];60;112;3,21;4,31;1;5;3,73;
Topology [1:23];60;113;3,20;4,28;1;5;3,77;
Topology [1:24];60;114;3,19;4,25;1;5;3,80;
Topology [1:25];60;115;3,13;4,21;1;5;3,83;
Topology [1:26];60;116;3,10;4,15;1;5;3,87;
Topology [1:27];60;117;3,08;4,12;1;5;3,90;
Topology [1:28];60;118;3,06;4,08;1;5;3,93;
Topology [1:29];60;119;3,05;4,06;1;5;3,97;
Topology [2:0];60;144;4,00;5,00;1;9;4,80;
Topology [2:1];60;145;4,00;5,00;1;9;4,83;
Topology [2:2];60;145;4,00;5,00;1;9;4,83;
Topology [2:3];60;146;4,00;5,00;1;9;4,87;
Topology [2:4];60;147;4,00;5,00;1;9;4,90;
Topology [2:5];60;148;4,00;5,00;1;9;4,93;
Topology [2:6];60;149;4,00;5,00;1;9;4,97;
Topology [2:7];60;150;4,00;5,00;2;9;5,00;
Topology [2:8];60;151;4,00;5,00;2;10;5,03;
Topology [2:9];60;152;4,00;5,00;2;10;5,07;
Topology [2:10];60;153;4,00;5,00;2;10;5,10;
Topology [2:11];60;154;4,00;5,00;2;10;5,13;
Topology [2:12];60;155;4,00;5,00;2;10;5,17;
Topology [2:13];60;156;4,00;5,00;2;10;5,20;
Topology [2:14];60;157;4,00;5,00;2;10;5,23;
Topology [2:15];60;158;4,00;5,00;2;10;5,27;
Topology [2:16];60;159;4,00;5,00;2;10;5,30;
Topology [2:17];60;160;4,00;5,00;2;10;5,33;
Topology [2:18];60;161;4,00;5,00;2;10;5,37;
Topology [2:19];60;162;4,00;5,00;2;10;5,40;
Topology [2:20];60;163;4,00;5,00;2;10;5,43;
Topology [2:21];60;164;4,00;5,00;2;10;5,47;
Topology [2:22];60;165;4,00;5,00;2;10;5,50;
Topology [2:23];60;166;4,00;5,00;2;10;5,53;
Topology [2:24];60;167;4,00;5,00;2;10;5,57;
Topology [2:25];60;168;4,00;5,00;2;10;5,60;
Topology [2:26];60;169;4,00;5,00;2;10;5,63;
Topology [2:27];60;170;4,00;5,00;2;10;5,67;
Topology [2:28];60;171;4,00;5,00;2;10;5,70;
Topology [2:29];60;172;4,00;5,00;2;10;5,73;
