Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:18];40;62;3,44;4,82;1;4;3,10;
Topology [1:19];40;63;3,44;4,80;1;4;3,15;
Topology [2:0];40;70;2,00;4,00;0;7;3,50;
Topology [2:1];40;71;2,00;4,00;0;7;3,55;
Topology [2:2];40;72;2,00;4,00;0;7;3,60;
Topology [2:3];40;73;2,00;4,00;0;7;3,65;
Topology [2:4];40;74;2,00;4,00;0;7;3,70;
Topology [2:5];40;75;2,00;4,00;0;7;3,75;
Topology [2:6];40;75;2,00;4,00;0;7;3,75;
Topology [2:7];40;76;2,00;4,00;0;7;3,80;
Topology [2:8];40;77;2,00;4,00;0;7;3,85;
Topology [2:9];40;78;2,00;4,00;0;7;3,90;
Topology [2:10];40;79;2,00;4,00;0;7;3,95;
Topology [2:11];40;80;2,00;4,00;0;8;4,00;
Topology [2:12];40;81;2,00;4,00;0;8;4,05;
Topology [2:13];40;81;2,00;4,00;0;8;4,05;
Topology [2:14];40;82;2,00;4,00;0;8;4,10;
Topology [2:15];40;83;2,00;4,00;0;8;4,15;
Topology [2:16];40;84;2,00;4,00;0;8;4,20;
Topology [2:17];40;85;2,00;4,00;0;8;4,25;
Topology [2:18];40;86;2,00;4,00;0;8;4,30;
Topology [2:19];40;87;2,00;4,00;0;8;4,35;
