Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:20];45;88;2,92;4,03;1;5;3,91;
Topology [1:21];45;89;2,96;4,03;2;5;3,96;
Topology [2:0];45;110;5,00;6,00;0;9;4,89;
Topology [2:1];45;111;5,00;6,00;0;9;4,93;
Topology [2:2];45;112;5,00;6,00;0;9;4,98;
Topology [2:3];45;113;5,00;6,00;1;9;5,02;
Topology [2:4];45;114;5,00;6,00;1;9;5,07;
Topology [2:5];45;115;5,00;6,00;1;9;5,11;
Topology [2:6];45;116;5,00;6,00;1;9;5,16;
Topology [2:7];45;117;5,00;6,00;1;9;5,20;
Topology [2:8];45;118;5,00;6,00;1;9;5,24;
Topology [2:9];45;119;5,00;6,00;1;9;5,29;
Topology [2:10];45;120;5,00;6,00;1;9;5,33;
Topology [2:11];45;121;5,00;6,00;1;10;5,38;
Topology [2:12];45;122;5,00;6,00;1;10;5,42;
Topology [2:13];45;123;5,00;6,00;1;10;5,47;
Topology [2:14];45;124;5,00;6,00;1;10;5,51;
Topology [2:15];45;125;5,00;6,00;1;10;5,56;
Topology [2:16];45;126;5,00;6,00;1;10;5,60;
Topology [2:17];45;127;5,00;6,00;1;10;5,64;
Topology [2:18];45;128;5,00;6,00;1;10;5,69;
Topology [2:19];45;129;5,00;6,00;1;10;5,73;
Topology [2:20];45;130;5,00;6,00;1;10;5,78;
Topology [2:21];45;131;5,00;6,00;1;10;5,82;
