Id;nNodes;nEdges;h;h';
Topology [1:0];30;31;6,37;17,63;
Topology [1:1];30;32;6,37;17,63;
Topology [1:2];30;33;6,37;17,63;
Topology [1:3];30;34;6,37;17,63;
Topology [1:4];30;35;6,37;17,63;
Topology [1:5];30;36;6,37;17,63;
Topology [1:6];30;37;6,37;17,63;
Topology [1:7];30;38;6,37;17,63;
Topology [1:8];30;39;6,37;17,63;
Topology [1:9];30;40;6,37;17,63;
Topology [1:10];30;41;6,37;17,63;
Topology [1:11];30;42;6,37;17,63;
Topology [1:12];30;43;6,37;17,63;
Topology [1:13];30;44;6,37;17,63;
Topology [1:14];30;45;6,37;17,63;
