Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:4];40;49;3,61;6,44;1;4;2,45;
Topology [1:5];40;50;3,56;6,26;1;4;2,50;
Topology [1:6];40;51;4,00;6,33;1;4;2,55;
Topology [1:7];40;52;3,67;5,86;1;4;2,60;
Topology [1:8];40;53;3,47;5,41;1;4;2,65;
Topology [1:9];40;54;3,19;4,80;1;4;2,70;
Topology [1:10];40;55;3,09;4,58;1;4;2,75;
Topology [1:11];40;56;3,07;4,56;1;4;2,80;
Topology [1:12];40;57;3,18;4,79;1;4;2,85;
Topology [1:13];40;58;3,22;4,80;1;4;2,90;
Topology [1:14];40;59;3,17;4,74;1;4;2,95;
Topology [1:15];40;60;3,18;4,74;1;4;3,00;
Topology [1:16];40;61;3,14;4,67;1;4;3,05;
Topology [1:17];40;62;3,23;4,76;1;4;3,10;
Topology [1:18];40;63;3,25;4,70;1;4;3,15;
Topology [1:19];40;64;3,16;4,58;1;4;3,20;
Topology [2:0];40;75;2,00;5,00;0;7;3,75;
Topology [2:1];40;76;2,00;5,00;0;8;3,80;
Topology [2:2];40;77;2,00;5,00;0;8;3,85;
Topology [2:3];40;78;2,00;5,00;0;8;3,90;
Topology [2:4];40;78;2,00;5,00;0;8;3,90;
Topology [2:5];40;79;2,00;5,00;0;8;3,95;
Topology [2:6];40;80;2,00;5,00;0;8;4,00;
Topology [2:7];40;81;2,00;5,00;0;8;4,05;
Topology [2:8];40;81;2,00;5,00;0;8;4,05;
Topology [2:9];40;82;2,00;5,00;0;8;4,10;
Topology [2:10];40;83;2,00;5,00;0;8;4,15;
Topology [2:11];40;84;2,00;5,00;0;8;4,20;
Topology [2:12];40;85;2,00;5,00;1;8;4,25;
Topology [2:13];40;86;2,00;5,00;1;8;4,30;
Topology [2:14];40;87;2,00;5,00;1;8;4,35;
Topology [2:15];40;88;2,00;5,00;1;8;4,40;
Topology [2:16];40;89;2,00;5,00;1;8;4,45;
Topology [2:17];40;90;2,00;5,00;1;8;4,50;
Topology [2:18];40;91;2,00;5,00;1;8;4,55;
Topology [2:19];40;92;2,00;5,00;1;8;4,60;
