Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:18];40;66;2,96;4,23;1;5;3,30;
Topology [1:19];40;67;2,97;4,23;1;5;3,35;
Topology [2:0];40;76;3,00;3,00;1;9;3,80;
Topology [2:1];40;77;3,00;3,00;1;9;3,85;
Topology [2:2];40;78;3,00;3,00;1;9;3,90;
Topology [2:3];40;79;3,00;3,00;1;9;3,95;
Topology [2:4];40;80;3,00;3,00;1;9;4,00;
Topology [2:5];40;81;3,00;3,00;1;9;4,05;
Topology [2:6];40;82;3,00;3,00;1;9;4,10;
Topology [2:7];40;83;3,00;3,00;1;9;4,15;
Topology [2:8];40;84;3,00;3,00;1;9;4,20;
Topology [2:9];40;85;3,00;3,00;1;9;4,25;
Topology [2:10];40;86;3,00;3,00;1;9;4,30;
Topology [2:11];40;87;3,00;3,00;1;9;4,35;
Topology [2:12];40;88;3,00;3,00;1;9;4,40;
Topology [2:13];40;89;3,00;3,00;1;9;4,45;
Topology [2:14];40;90;3,00;3,00;1;9;4,50;
Topology [2:15];40;91;3,00;3,00;1;9;4,55;
Topology [2:16];40;92;3,00;3,00;1;9;4,60;
Topology [2:17];40;93;3,00;3,00;1;9;4,65;
Topology [2:18];40;94;3,00;3,00;1;9;4,70;
Topology [2:19];40;95;3,00;3,00;1;9;4,75;
