Topology [1:3];20;30;3,61;4,74;
Topology [1:4];20;30;3,61;4,74;
Topology [1:5];20;30;3,61;4,74;
Topology [1:6];20;30;3,61;4,74;
Topology [1:7];20;30;3,61;4,74;
Topology [1:8];20;30;3,61;4,74;
Topology [1:9];20;30;3,61;4,74;
Topology [1:10];20;30;3,61;4,74;
Topology [1:11];20;30;3,61;4,74;
Topology [1:12];20;30;3,61;4,74;
Topology [1:13];20;30;3,61;4,74;
Topology [1:14];20;30;3,61;4,74;
Topology [1:15];20;30;3,61;4,74;
Topology [1:16];20;30;3,61;4,74;
Topology [1:17];20;30;3,61;4,74;
Topology [1:18];20;30;3,61;4,74;
Topology [1:19];20;30;3,61;4,74;
Topology [1:20];20;30;3,61;4,74;
