Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:8];40;56;3,50;5,37;1;4;2,80;
Topology [1:9];40;57;3,45;5,24;1;4;2,85;
Topology [1:10];40;58;3,38;5,14;1;4;2,90;
Topology [1:11];40;59;3,37;5,08;1;4;2,95;
Topology [1:12];40;60;3,32;5,00;1;4;3,00;
Topology [1:13];40;61;3,23;4,84;1;4;3,05;
Topology [1:14];40;62;3,18;4,72;1;4;3,10;
Topology [1:15];40;63;3,15;4,64;1;4;3,15;
Topology [1:16];40;64;3,07;4,51;1;4;3,20;
Topology [1:17];40;65;3,00;4,39;1;4;3,25;
Topology [1:18];40;66;3,04;4,41;1;4;3,30;
Topology [1:19];40;67;3,01;4,34;1;4;3,35;
Topology [2:0];40;71;3,00;4,00;1;6;3,55;
Topology [2:1];40;72;3,00;4,00;1;6;3,60;
Topology [2:2];40;73;3,00;4,00;1;6;3,65;
Topology [2:3];40;74;3,00;4,00;1;6;3,70;
Topology [2:4];40;75;3,00;4,00;1;6;3,75;
Topology [2:5];40;76;3,00;4,00;1;6;3,80;
Topology [2:6];40;77;3,00;4,00;1;6;3,85;
Topology [2:7];40;78;3,00;4,00;1;6;3,90;
Topology [2:8];40;79;3,00;4,00;1;7;3,95;
Topology [2:9];40;80;3,00;4,00;1;7;4,00;
Topology [2:10];40;81;3,00;4,00;1;7;4,05;
Topology [2:11];40;82;3,00;4,00;1;7;4,10;
Topology [2:12];40;83;3,00;4,00;1;7;4,15;
Topology [2:13];40;84;3,00;4,00;1;7;4,20;
Topology [2:14];40;85;3,00;4,00;1;7;4,25;
Topology [2:15];40;86;3,00;4,00;1;7;4,30;
Topology [2:16];40;87;3,00;4,00;1;7;4,35;
Topology [2:17];40;88;3,00;4,00;1;7;4,40;
Topology [2:18];40;89;3,32;4,81;2;7;4,45;
Topology [2:19];40;90;3,16;4,57;2;7;4,50;
