Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:19];40;60;3,40;4,98;1;4;3,00;
Topology [2:0];40;75;4,00;6,00;0;7;3,75;
Topology [2:1];40;76;4,00;6,00;0;7;3,80;
Topology [2:2];40;77;4,00;6,00;0;8;3,85;
Topology [2:3];40;78;4,00;6,00;0;8;3,90;
Topology [2:4];40;79;4,00;6,00;0;8;3,95;
Topology [2:5];40;80;4,00;6,00;0;8;4,00;
Topology [2:6];40;81;4,00;6,00;0;8;4,05;
Topology [2:7];40;82;4,00;6,00;0;8;4,10;
Topology [2:8];40;83;4,00;6,00;0;8;4,15;
Topology [2:9];40;84;4,00;6,00;0;8;4,20;
Topology [2:10];40;85;4,00;6,00;0;8;4,25;
Topology [2:11];40;86;3,12;4,36;1;8;4,30;
Topology [2:12];40;87;3,08;4,30;1;8;4,35;
Topology [2:13];40;88;3,03;4,21;1;8;4,40;
Topology [2:14];40;89;3,00;4,18;1;8;4,45;
Topology [2:15];40;90;3,34;5,04;1;8;4,50;
Topology [2:16];40;91;3,32;4,99;1;8;4,55;
Topology [2:17];40;92;3,26;4,84;1;8;4,60;
Topology [2:18];40;93;3,12;4,53;1;8;4,65;
Topology [2:19];40;93;3,12;4,53;1;8;4,65;
