Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:6];40;54;3,56;5,55;1;5;2,70;
Topology [1:7];40;55;3,54;5,45;1;5;2,75;
Topology [1:8];40;56;3,46;5,30;1;5;2,80;
Topology [1:9];40;57;3,35;5,10;1;5;2,85;
Topology [1:10];40;58;3,31;4,99;1;5;2,90;
Topology [1:11];40;59;3,27;4,86;1;5;2,95;
Topology [1:12];40;60;3,21;4,69;1;5;3,00;
Topology [1:13];40;61;3,20;4,67;1;6;3,05;
Topology [1:14];40;62;3,23;4,69;1;6;3,10;
Topology [1:15];40;63;3,23;4,67;1;6;3,15;
Topology [1:16];40;64;3,17;4,45;1;6;3,20;
Topology [1:17];40;65;3,14;4,37;1;6;3,25;
Topology [1:18];40;66;3,12;4,33;1;6;3,30;
Topology [1:19];40;67;3,06;4,26;1;6;3,35;
Topology [2:0];40;74;3,00;5,00;1;7;3,70;
Topology [2:1];40;75;3,00;5,00;1;7;3,75;
Topology [2:2];40;76;3,00;5,00;1;7;3,80;
Topology [2:3];40;77;3,00;5,00;1;7;3,85;
Topology [2:4];40;78;3,00;5,00;1;7;3,90;
Topology [2:5];40;79;3,00;5,00;1;7;3,95;
Topology [2:6];40;80;3,00;5,00;1;7;4,00;
Topology [2:7];40;81;3,55;5,88;1;7;4,05;
Topology [2:8];40;82;3,64;5,93;1;7;4,10;
Topology [2:9];40;83;3,60;5,77;1;7;4,15;
Topology [2:10];40;84;3,51;5,57;1;8;4,20;
Topology [2:11];40;85;3,51;5,51;1;8;4,25;
Topology [2:12];40;86;3,41;5,22;1;8;4,30;
Topology [2:13];40;87;3,37;5,11;1;8;4,35;
Topology [2:14];40;88;3,31;4,97;1;9;4,40;
Topology [2:15];40;89;3,25;4,77;1;9;4,45;
Topology [2:16];40;90;3,21;4,67;1;9;4,50;
Topology [2:17];40;91;3,19;4,60;1;9;4,55;
Topology [2:18];40;92;3,13;4,47;1;9;4,60;
Topology [2:19];40;93;3,04;4,33;1;9;4,65;
