Id;nNodes;nEdges;h;h';
Topology [1:6];25;38;2,15;3,63;
Topology [1:7];25;39;2,13;3,57;
Topology [1:8];25;40;2,23;3,53;
Topology [1:9];25;41;2,16;3,40;
Topology [1:10];25;42;2,12;3,29;
Topology [1:11];25;43;2,32;3,52;
Topology [2:0];25;54;3,00;5,00;
Topology [2:1];25;55;3,00;5,00;
Topology [2:2];25;56;3,00;5,00;
Topology [2:3];25;56;3,00;5,00;
Topology [2:4];25;56;3,00;5,00;
Topology [2:5];25;57;3,00;5,00;
Topology [2:6];25;58;3,00;5,00;
Topology [2:7];25;59;3,00;5,00;
Topology [2:8];25;60;3,00;5,00;
Topology [2:9];25;61;3,00;5,00;
Topology [2:10];25;62;3,00;5,00;
Topology [2:11];25;63;2,41;3,59;
