Id;nNodes;nEdges;h;h';
Topology [1:2];20;33;2,33;3,46;
Topology [1:3];20;34;2,42;3,48;
Topology [1:4];20;35;2,39;3,42;
Topology [1:5];20;36;2,32;3,29;
Topology [1:6];20;37;2,30;3,26;
Topology [1:7];20;38;2,27;3,19;
Topology [1:8];20;39;2,21;3,11;
Topology [1:9];20;40;2,18;3,05;
Topology [2:0];20;45;4,00;4,00;
Topology [2:1];20;46;4,00;4,00;
Topology [2:2];20;47;4,00;4,00;
Topology [2:3];20;48;4,00;4,00;
Topology [2:4];20;49;1,82;2,90;
Topology [2:5];20;50;2,12;3,25;
Topology [2:6];20;51;2,09;3,17;
Topology [2:7];20;52;2,21;3,23;
Topology [2:8];20;52;2,21;3,23;
Topology [2:9];20;53;2,18;3,17;
