Id;nNodes;nEdges;h;h';
Topology [1:0];20;21;5,00;11,39;
Topology [1:1];20;22;4,69;8,16;
Topology [1:2];20;23;4,18;7,22;
Topology [1:3];20;24;3,80;6,07;
Topology [1:4];20;25;3,33;5,45;
Topology [1:5];20;26;3,25;5,21;
Topology [1:6];20;27;2,90;4,68;
Topology [1:7];20;28;2,83;4,49;
Topology [1:8];20;29;2,70;4,29;
Topology [1:9];20;30;2,53;4,05;
Topology [2:0];20;35;5,03;13,81;
Topology [2:1];20;36;4,94;11,86;
Topology [2:2];20;37;4,67;11,05;
Topology [2:3];20;38;4,47;9,41;
Topology [2:4];20;39;4,21;8,51;
Topology [2:5];20;39;4,21;8,51;
Topology [2:6];20;39;4,21;8,51;
Topology [2:7];20;40;3,86;7,62;
Topology [2:8];20;41;3,42;6,91;
Topology [2:9];20;42;3,28;6,06;
