Id;nNodes;nEdges;h;h';
Topology [1:5];30;39;4,18;6,83;
Topology [1:6];30;40;4,08;6,53;
Topology [1:7];30;41;4,03;6,25;
Topology [1:8];30;42;3,81;5,79;
Topology [1:9];30;43;3,51;5,30;
Topology [1:10];30;44;3,38;5,03;
Topology [2:0];30;55;3,00;5,00;
Topology [2:1];30;56;3,05;5,43;
Topology [2:2];30;57;2,63;4,52;
Topology [2:3];30;58;2,58;4,31;
Topology [2:4];30;59;2,23;3,86;
Topology [2:5];30;60;2,43;4,16;
Topology [2:6];30;61;3,10;4,99;
Topology [2:7];30;62;3,65;5,69;
Topology [2:8];30;63;3,49;5,30;
Topology [2:9];30;64;3,32;5,03;
