Id;nNodes;nEdges;h;h';
Topology [1:0];5;7;1,30;2,10;
Topology [1:1];5;7;1,30;2,10;
Topology [1:2];5;8;1,30;2,10;
Topology [1:3];5;8;1,30;2,10;
Topology [1:4];5;8;1,30;2,10;
Topology [1:5];5;8;1,30;2,10;
Topology [1:6];5;8;1,30;2,10;
Topology [1:7];5;8;1,30;2,10;
Topology [1:8];5;9;1,30;2,10;
Topology [1:9];5;9;1,30;2,10;
Topology [1:10];5;9;1,30;2,10;
Topology [1:11];5;9;1,30;2,10;
Topology [1:12];5;9;1,30;2,10;
Topology [1:13];5;9;1,30;2,10;
Topology [1:14];5;9;1,30;2,10;
Topology [1:15];5;9;1,30;2,10;
Topology [1:16];5;9;1,30;2,10;
Topology [1:17];5;9;1,30;2,10;
Topology [1:18];5;9;1,30;2,10;
Topology [1:19];5;9;1,30;2,10;
Topology [1:20];5;9;1,30;2,10;
Topology [1:21];5;9;1,30;2,10;
Topology [1:22];5;9;1,30;2,10;
Topology [1:23];5;9;1,30;2,10;
Topology [1:24];5;9;1,30;2,10;
Topology [1:25];5;9;1,30;2,10;
Topology [1:26];5;9;1,30;2,10;
Topology [1:27];5;9;1,30;2,10;
Topology [1:28];5;9;1,30;2,10;
Topology [1:29];5;9;1,30;2,10;
Topology [1:30];5;9;1,30;2,10;
Topology [1:31];5;9;1,30;2,10;
Topology [1:32];5;9;1,30;2,10;
Topology [1:33];5;9;1,30;2,10;
Topology [1:34];5;9;1,30;2,10;
Topology [1:35];5;9;1,30;2,10;
Topology [1:36];5;9;1,30;2,10;
Topology [1:37];5;9;1,30;2,10;
Topology [1:38];5;9;1,30;2,10;
Topology [1:39];5;9;1,30;2,10;
Topology [1:40];5;9;1,30;2,10;
Topology [1:41];5;9;1,30;2,10;
Topology [1:42];5;9;1,30;2,10;
Topology [1:43];5;9;1,30;2,10;
Topology [1:44];5;9;1,30;2,10;
Topology [1:45];5;9;1,30;2,10;
Topology [1:46];5;9;1,30;2,10;
Topology [1:47];5;9;1,30;2,10;
Topology [1:48];5;9;1,30;2,10;
Topology [1:49];5;9;1,30;2,10;
Topology [1:50];5;9;1,30;2,10;
Topology [1:51];5;9;1,30;2,10;
Topology [1:52];5;9;1,30;2,10;
Topology [1:53];5;9;1,30;2,10;
Topology [1:54];5;9;1,30;2,10;
Topology [1:55];5;9;1,30;2,10;
Topology [1:56];5;9;1,30;2,10;
Topology [1:57];5;9;1,30;2,10;
Topology [1:58];5;9;1,30;2,10;
Topology [1:59];5;9;1,30;2,10;
Topology [1:60];5;9;1,30;2,10;
Topology [1:61];5;9;1,30;2,10;
Topology [1:62];5;9;1,30;2,10;
Topology [1:63];5;9;1,30;2,10;
Topology [1:64];5;9;1,30;2,10;
Topology [1:65];5;9;1,30;2,10;
Topology [1:66];5;9;1,30;2,10;
Topology [1:67];5;9;1,30;2,10;
Topology [1:68];5;9;1,30;2,10;
Topology [1:69];5;9;1,30;2,10;
Topology [1:70];5;9;1,30;2,10;
Topology [1:71];5;9;1,30;2,10;
Topology [1:72];5;9;1,30;2,10;
Topology [1:73];5;9;1,30;2,10;
Topology [1:74];5;9;1,30;2,10;
Topology [1:75];5;9;1,30;2,10;
Topology [1:76];5;9;1,30;2,10;
Topology [1:77];5;9;1,30;2,10;
Topology [1:78];5;9;1,30;2,10;
Topology [1:79];5;9;1,30;2,10;
Topology [1:80];5;9;1,30;2,10;
Topology [1:81];5;9;1,30;2,10;
Topology [1:82];5;9;1,30;2,10;
Topology [1:83];5;9;1,30;2,10;
Topology [1:84];5;9;1,30;2,10;
Topology [1:85];5;9;1,30;2,10;
Topology [1:86];5;9;1,30;2,10;
Topology [1:87];5;9;1,30;2,10;
Topology [1:88];5;9;1,30;2,10;
Topology [1:89];5;9;1,30;2,10;
Topology [1:90];5;9;1,30;2,10;
Topology [1:91];5;9;1,30;2,10;
Topology [1:92];5;9;1,30;2,10;
Topology [1:93];5;9;1,30;2,10;
Topology [1:94];5;9;1,30;2,10;
Topology [1:95];5;9;1,30;2,10;
Topology [1:96];5;9;1,30;2,10;
Topology [1:97];5;9;1,30;2,10;
Topology [1:98];5;9;1,30;2,10;
Topology [1:99];5;9;1,30;2,10;
Topology [1:100];5;9;1,30;2,10;
Topology [1:101];5;9;1,30;2,10;
Topology [1:102];5;9;1,30;2,10;
Topology [1:103];5;9;1,30;2,10;
Topology [1:104];5;9;1,30;2,10;
Topology [1:105];5;9;1,30;2,10;
Topology [1:106];5;9;1,30;2,10;
Topology [1:107];5;9;1,30;2,10;
Topology [1:108];5;9;1,30;2,10;
Topology [1:109];5;9;1,30;2,10;
Topology [1:110];5;9;1,30;2,10;
Topology [1:111];5;9;1,30;2,10;
Topology [1:112];5;9;1,30;2,10;
Topology [1:113];5;9;1,30;2,10;
Topology [1:114];5;9;1,30;2,10;
Topology [1:115];5;9;1,30;2,10;
Topology [1:116];5;9;1,30;2,10;
Topology [1:117];5;9;1,30;2,10;
Topology [1:118];5;9;1,30;2,10;
Topology [1:119];5;9;1,30;2,10;
Topology [1:120];5;9;1,30;2,10;
Topology [1:121];5;9;1,30;2,10;
Topology [1:122];5;9;1,30;2,10;
Topology [1:123];5;9;1,30;2,10;
Topology [1:124];5;9;1,30;2,10;
Topology [1:125];5;9;1,30;2,10;
Topology [1:126];5;9;1,30;2,10;
Topology [1:127];5;9;1,30;2,10;
Topology [1:128];5;9;1,30;2,10;
Topology [1:129];5;9;1,30;2,10;
Topology [1:130];5;9;1,30;2,10;
Topology [1:131];5;9;1,30;2,10;
Topology [1:132];5;9;1,30;2,10;
Topology [1:133];5;9;1,30;2,10;
Topology [1:134];5;9;1,30;2,10;
Topology [1:135];5;9;1,30;2,10;
Topology [1:136];5;9;1,30;2,10;
Topology [1:137];5;9;1,30;2,10;
Topology [1:138];5;9;1,30;2,10;
Topology [1:139];5;9;1,30;2,10;
Topology [1:140];5;9;1,30;2,10;
Topology [1:141];5;9;1,30;2,10;
Topology [1:142];5;9;1,30;2,10;
Topology [1:143];5;9;1,30;2,10;
Topology [1:144];5;9;1,30;2,10;
Topology [1:145];5;9;1,30;2,10;
Topology [1:146];5;9;1,30;2,10;
Topology [1:147];5;9;1,30;2,10;
Topology [1:148];5;9;1,30;2,10;
Topology [1:149];5;9;1,30;2,10;
Topology [1:150];5;9;1,30;2,10;
Topology [1:151];5;9;1,30;2,10;
Topology [1:152];5;9;1,30;2,10;
Topology [1:153];5;9;1,30;2,10;
Topology [1:154];5;9;1,30;2,10;
Topology [1:155];5;9;1,30;2,10;
Topology [1:156];5;9;1,30;2,10;
Topology [1:157];5;9;1,30;2,10;
Topology [1:158];5;9;1,30;2,10;
Topology [1:159];5;9;1,30;2,10;
Topology [1:160];5;9;1,30;2,10;
Topology [1:161];5;9;1,30;2,10;
Topology [1:162];5;9;1,30;2,10;
Topology [1:163];5;9;1,30;2,10;
Topology [1:164];5;9;1,30;2,10;
Topology [1:165];5;9;1,30;2,10;
Topology [1:166];5;9;1,30;2,10;
Topology [1:167];5;9;1,30;2,10;
Topology [1:168];5;9;1,30;2,10;
Topology [1:169];5;9;1,30;2,10;
Topology [1:170];5;9;1,30;2,10;
Topology [1:171];5;9;1,30;2,10;
Topology [1:172];5;9;1,30;2,10;
Topology [1:173];5;9;1,30;2,10;
Topology [1:174];5;9;1,30;2,10;
Topology [1:175];5;9;1,30;2,10;
Topology [1:176];5;9;1,30;2,10;
Topology [1:177];5;9;1,30;2,10;
Topology [1:178];5;9;1,30;2,10;
Topology [1:179];5;9;1,30;2,10;
Topology [1:180];5;9;1,30;2,10;
Topology [1:181];5;9;1,30;2,10;
Topology [1:182];5;9;1,30;2,10;
Topology [1:183];5;9;1,30;2,10;
Topology [1:184];5;9;1,30;2,10;
Topology [1:185];5;9;1,30;2,10;
Topology [1:186];5;9;1,30;2,10;
Topology [1:187];5;9;1,30;2,10;
Topology [1:188];5;9;1,30;2,10;
Topology [1:189];5;9;1,30;2,10;
Topology [1:190];5;9;1,30;2,10;
Topology [1:191];5;9;1,30;2,10;
Topology [1:192];5;9;1,30;2,10;
Topology [1:193];5;9;1,30;2,10;
Topology [1:194];5;9;1,30;2,10;
Topology [1:195];5;9;1,30;2,10;
Topology [1:196];5;9;1,30;2,10;
Topology [1:197];5;9;1,30;2,10;
Topology [1:198];5;9;1,30;2,10;
Topology [1:199];5;9;1,30;2,10;
Topology [1:200];5;9;1,30;2,10;
Topology [1:201];5;9;1,30;2,10;
Topology [1:202];5;9;1,30;2,10;
Topology [1:203];5;9;1,30;2,10;
Topology [1:204];5;9;1,30;2,10;
Topology [1:205];5;9;1,30;2,10;
Topology [1:206];5;9;1,30;2,10;
Topology [1:207];5;9;1,30;2,10;
Topology [1:208];5;9;1,30;2,10;
Topology [1:209];5;9;1,30;2,10;
Topology [1:210];5;9;1,30;2,10;
Topology [1:211];5;9;1,30;2,10;
Topology [1:212];5;9;1,30;2,10;
Topology [1:213];5;9;1,30;2,10;
Topology [1:214];5;9;1,30;2,10;
Topology [1:215];5;9;1,30;2,10;
Topology [1:216];5;9;1,30;2,10;
Topology [1:217];5;9;1,30;2,10;
Topology [1:218];5;9;1,30;2,10;
Topology [1:219];5;9;1,30;2,10;
Topology [1:220];5;9;1,30;2,10;
Topology [1:221];5;9;1,30;2,10;
Topology [1:222];5;9;1,30;2,10;
Topology [1:223];5;9;1,30;2,10;
Topology [1:224];5;9;1,30;2,10;
Topology [1:225];5;9;1,30;2,10;
Topology [1:226];5;9;1,30;2,10;
Topology [1:227];5;9;1,30;2,10;
Topology [1:228];5;9;1,30;2,10;
Topology [1:229];5;9;1,30;2,10;
Topology [1:230];5;9;1,30;2,10;
Topology [1:231];5;9;1,30;2,10;
Topology [1:232];5;9;1,30;2,10;
Topology [1:233];5;9;1,30;2,10;
Topology [1:234];5;9;1,30;2,10;
Topology [1:235];5;9;1,30;2,10;
Topology [1:236];5;9;1,30;2,10;
Topology [1:237];5;9;1,30;2,10;
Topology [1:238];5;9;1,30;2,10;
Topology [1:239];5;9;1,30;2,10;
Topology [1:240];5;9;1,30;2,10;
Topology [1:241];5;9;1,30;2,10;
Topology [1:242];5;9;1,30;2,10;
Topology [1:243];5;9;1,30;2,10;
Topology [1:244];5;9;1,30;2,10;
Topology [1:245];5;9;1,30;2,10;
Topology [1:246];5;9;1,30;2,10;
Topology [1:247];5;9;1,30;2,10;
Topology [1:248];5;9;1,30;2,10;
Topology [1:249];5;9;1,30;2,10;
Topology [1:250];5;9;1,30;2,10;
Topology [1:251];5;9;1,30;2,10;
Topology [1:252];5;9;1,30;2,10;
Topology [1:253];5;9;1,30;2,10;
Topology [1:254];5;9;1,30;2,10;
Topology [1:255];5;9;1,30;2,10;
Topology [1:256];5;9;1,30;2,10;
Topology [1:257];5;9;1,30;2,10;
Topology [1:258];5;9;1,30;2,10;
Topology [1:259];5;9;1,30;2,10;
Topology [1:260];5;9;1,30;2,10;
Topology [1:261];5;9;1,30;2,10;
Topology [1:262];5;9;1,30;2,10;
Topology [1:263];5;9;1,30;2,10;
Topology [1:264];5;9;1,30;2,10;
Topology [1:265];5;9;1,30;2,10;
Topology [1:266];5;9;1,30;2,10;
Topology [1:267];5;9;1,30;2,10;
Topology [1:268];5;9;1,30;2,10;
Topology [1:269];5;9;1,30;2,10;
Topology [1:270];5;9;1,30;2,10;
Topology [1:271];5;9;1,30;2,10;
Topology [1:272];5;9;1,30;2,10;
Topology [1:273];5;9;1,30;2,10;
Topology [1:274];5;9;1,30;2,10;
Topology [1:275];5;9;1,30;2,10;
Topology [1:276];5;9;1,30;2,10;
Topology [1:277];5;9;1,30;2,10;
Topology [1:278];5;9;1,30;2,10;
Topology [1:279];5;9;1,30;2,10;
Topology [1:280];5;9;1,30;2,10;
Topology [1:281];5;9;1,30;2,10;
Topology [1:282];5;9;1,30;2,10;
Topology [1:283];5;9;1,30;2,10;
Topology [1:284];5;9;1,30;2,10;
Topology [1:285];5;9;1,30;2,10;
Topology [1:286];5;9;1,30;2,10;
Topology [1:287];5;9;1,30;2,10;
Topology [1:288];5;9;1,30;2,10;
Topology [1:289];5;9;1,30;2,10;
Topology [1:290];5;9;1,30;2,10;
Topology [1:291];5;9;1,30;2,10;
Topology [1:292];5;9;1,30;2,10;
Topology [1:293];5;9;1,30;2,10;
Topology [1:294];5;9;1,30;2,10;
Topology [1:295];5;9;1,30;2,10;
Topology [1:296];5;9;1,30;2,10;
Topology [1:297];5;9;1,30;2,10;
Topology [1:298];5;9;1,30;2,10;
Topology [1:299];5;9;1,30;2,10;
