Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:11];35;52;3,03;4,66;1;4;2,97;
Topology [1:12];35;53;2,98;4,54;1;4;3,03;
Topology [1:13];35;54;2,96;4,46;1;4;3,09;
Topology [1:14];35;55;2,93;4,38;1;4;3,14;
Topology [1:15];35;56;2,83;4,17;1;4;3,20;
Topology [1:16];35;57;2,78;4,07;1;4;3,26;
Topology [2:0];35;59;3,00;4,00;1;7;3,37;
Topology [2:1];35;60;3,00;4,00;1;7;3,43;
Topology [2:2];35;61;3,00;4,00;1;7;3,49;
Topology [2:3];35;62;3,00;4,00;1;7;3,54;
Topology [2:4];35;63;3,00;4,00;1;7;3,60;
Topology [2:5];35;64;3,00;4,00;1;7;3,66;
Topology [2:6];35;65;3,00;4,00;1;7;3,71;
Topology [2:7];35;66;3,00;4,00;1;7;3,77;
Topology [2:8];35;67;3,00;4,00;1;7;3,83;
Topology [2:9];35;68;3,00;4,00;1;7;3,89;
Topology [2:10];35;69;3,00;4,00;1;7;3,94;
Topology [2:11];35;70;3,00;4,00;1;7;4,00;
Topology [2:12];35;71;3,00;4,00;1;7;4,06;
Topology [2:13];35;72;3,00;4,00;1;7;4,11;
Topology [2:14];35;73;2,99;4,60;1;7;4,17;
Topology [2:15];35;74;3,12;4,90;1;7;4,23;
Topology [2:16];35;75;3,10;4,78;1;7;4,29;
