Id;nNodes;nEdges;h;h';dMin;dMax;dMed;
Topology [1:12];30;49;2,90;4,37;1;6;3,27;
Topology [1:13];30;50;2,86;4,03;1;6;3,33;
Topology [1:14];30;51;2,76;3,89;1;6;3,40;
Topology [2:0];30;58;1,00;3,00;2;7;3,87;
Topology [2:1];30;59;3,14;5,00;2;7;3,93;
Topology [2:2];30;60;3,10;4,86;2;8;4,00;
Topology [2:3];30;61;3,05;4,76;2;8;4,07;
Topology [2:4];30;62;2,97;4,61;2;8;4,13;
Topology [2:5];30;63;3,07;4,70;2;8;4,20;
Topology [2:6];30;64;3,09;4,69;2;8;4,27;
Topology [2:7];30;65;3,02;4,53;2;8;4,33;
Topology [2:8];30;66;2,97;4,43;2;8;4,40;
Topology [2:9];30;67;2,88;4,28;2;8;4,47;
Topology [2:10];30;68;2,84;4,20;2;8;4,53;
Topology [2:11];30;69;2,80;4,07;2;8;4,60;
Topology [2:12];30;70;2,75;3,97;2;8;4,67;
Topology [2:13];30;71;2,72;3,91;2;8;4,73;
Topology [2:14];30;72;2,67;3,82;2;8;4,80;
