Id;nNodes;nEdges;h;h';
Topology [1:0];20;21;4,39;11,71;
Topology [1:1];20;21;4,39;11,71;
Topology [1:2];20;21;4,39;11,71;
Topology [1:3];20;21;4,39;11,71;
Topology [1:4];20;21;4,39;11,71;
Topology [1:5];20;21;4,39;11,71;
Topology [1:6];20;21;4,39;11,71;
Topology [1:7];20;21;4,39;11,71;
Topology [1:8];20;21;4,39;11,71;
Topology [1:9];20;21;4,39;11,71;
Topology [1:10];20;21;4,39;11,71;
Topology [1:11];20;21;4,39;11,71;
Topology [1:12];20;21;4,39;11,71;
Topology [1:13];20;21;4,39;11,71;
Topology [1:14];20;21;4,39;11,71;
Topology [1:15];20;21;4,39;11,71;
Topology [1:16];20;21;4,39;11,71;
Topology [1:17];20;21;4,39;11,71;
Topology [1:18];20;21;4,39;11,71;
Topology [1:19];20;21;4,39;11,71;
Topology [1:20];20;21;4,39;11,71;
