Id;nNodes;nEdges;h;h';
Topology [1:0];20;21;4,85;10,54;
Topology [1:1];20;22;4,57;8,28;
Topology [1:2];20;23;3,43;6,52;
Topology [1:3];20;24;3,29;5,93;
Topology [1:4];20;25;3,22;5,47;
Topology [1:5];20;26;2,84;4,84;
Topology [1:6];20;27;2,78;4,69;
Topology [1:7];20;28;2,74;4,52;
Topology [1:8];20;29;2,66;4,35;
Topology [1:9];20;30;2,57;4,01;
Topology [2:0];20;34;4,78;10,61;
Topology [2:1];20;35;4,42;9,48;
Topology [2:2];20;36;3,95;8,04;
Topology [2:3];20;37;3,81;6,72;
Topology [2:4];20;38;3,12;5,65;
Topology [2:5];20;39;3,02;5,46;
Topology [2:6];20;40;2,97;5,28;
Topology [2:7];20;41;2,81;4,74;
Topology [2:8];20;42;2,71;4,45;
Topology [2:9];20;43;2,66;4,27;
