Id;nNodes;nEdges;h;h';
Topology [1:6];30;46;3,03;4,56;
Topology [1:7];30;47;2,97;4,36;
Topology [1:8];30;48;2,90;4,22;
Topology [1:9];30;49;2,84;4,14;
Topology [1:10];30;50;2,84;4,11;
Topology [1:11];30;51;2,76;3,96;
Topology [1:12];30;52;2,71;3,88;
Topology [1:13];30;53;2,66;3,82;
Topology [1:14];30;54;2,62;3,78;
Topology [2:0];30;56;1,00;5,00;
Topology [2:1];30;57;1,00;5,00;
Topology [2:2];30;58;1,00;5,00;
Topology [2:3];30;59;1,00;5,00;
Topology [2:4];30;60;1,00;5,00;
Topology [2:5];30;61;1,00;5,00;
Topology [2:6];30;62;1,00;5,00;
Topology [2:7];30;63;1,00;5,00;
Topology [2:8];30;64;1,00;5,00;
Topology [2:9];30;65;1,00;5,00;
Topology [2:10];30;65;1,00;5,00;
Topology [2:11];30;66;3,15;4,66;
Topology [2:12];30;67;3,09;4,54;
Topology [2:13];30;68;3,14;4,70;
Topology [2:14];30;69;3,16;4,72;
